indicator,date,rate
close,2022-01-28 15:20:00,32.51
open,2022-01-28 15:19:00,32.47
high,2022-01-28 15:19:00,32.48
low,2022-01-28 15:19:00,32.47
close,2022-01-28 15:19:00,32.475
open,2022-01-28 15:18:00,32.49
high,2022-01-28 15:18:00,32.5
low,2022-01-28 15:18:00,32.46
close,2022-01-28 15:18:00,32.46
open,2022-01-28 15:17:00,32.5
high,2022-01-28 15:17:00,32.5
low,2022-01-28 15:17:00,32.49
close,2022-01-28 15:17:00,32.49
open,2022-01-28 15:16:00,32.47
high,2022-01-28 15:16:00,32.51
low,2022-01-28 15:16:00,32.47
close,2022-01-28 15:16:00,32.505
open,2022-01-28 15:15:00,32.45
high,2022-01-28 15:15:00,32.45
low,2022-01-28 15:15:00,32.44
close,2022-01-28 15:15:00,32.44
open,2022-01-28 15:14:00,32.44
high,2022-01-28 15:14:00,32.44
low,2022-01-28 15:14:00,32.44
close,2022-01-28 15:14:00,32.44
open,2022-01-28 15:13:00,32.45
high,2022-01-28 15:13:00,32.451
low,2022-01-28 15:13:00,32.45
close,2022-01-28 15:13:00,32.451
open,2022-01-28 15:12:00,32.49
high,2022-01-28 15:12:00,32.49
low,2022-01-28 15:12:00,32.461
close,2022-01-28 15:12:00,32.47
